comparison,condition_id,direction,left_episode_index,right_episode_index,mae_0_255,nonidentical_channel_fraction,p99_abs_difference,max_abs_difference
within_condition_direction,cosmos_short_static32,right,4,6,2.8399604552469135,0.7032908950617284,19.0,87
within_condition_direction,cosmos_short_static32,right,4,7,3.2023273533950616,0.7185426311728395,19.0,99
within_condition_direction,cosmos_short_static32,right,4,8,3.2911930941358025,0.7204832175925926,22.0,93
within_condition_direction,cosmos_short_static32,right,4,9,2.9012432484567903,0.7037393904320988,19.0,74
within_condition_direction,cosmos_short_static32,right,5,6,3.2102623456790123,0.7159596836419753,20.0,91
within_condition_direction,cosmos_short_static32,right,5,7,3.29912037037037,0.7221952160493827,19.0,103
within_condition_direction,cosmos_short_static32,right,5,8,3.1854783950617285,0.7188859953703703,20.0,102
within_condition_direction,cosmos_short_static32,right,5,9,3.125059799382716,0.7177006172839506,20.0,85
within_condition_direction,cosmos_short_static32,right,6,7,3.2120987654320987,0.7236410108024691,20.0,96
within_condition_direction,cosmos_short_static32,right,6,8,3.370250771604938,0.7197849151234568,23.0,94
within_condition_direction,cosmos_short_static32,right,6,9,3.057235725308642,0.7084355709876543,20.0,74
within_condition_direction,cosmos_short_static32,right,7,8,3.4182310956790123,0.7243557098765432,21.0,91
within_condition_direction,cosmos_short_static32,right,7,9,3.1644714506172837,0.7126273148148148,19.0,103
within_condition_direction,cosmos_short_static32,right,8,9,3.242631172839506,0.7215538194444444,22.0,88
matched_left_right,cosmos_short_static32,left_vs_right,0,0,3.6031655092592594,0.6721122685185185,46.0,84
matched_left_right,cosmos_short_static32,left_vs_right,1,1,3.6840769675925924,0.7243084490740741,24.0,97
matched_left_right,cosmos_short_static32,left_vs_right,2,2,3.5157503858024692,0.718738425925926,23.0,133
matched_left_right,cosmos_short_static32,left_vs_right,3,3,3.4861988811728395,0.725240162037037,26.0,94
matched_left_right,cosmos_short_static32,left_vs_right,4,4,3.349157986111111,0.7245293209876543,23.0,90
matched_left_right,cosmos_short_static32,left_vs_right,5,5,3.689236111111111,0.71421875,27.0,69
matched_left_right,cosmos_short_static32,left_vs_right,6,6,3.358886959876543,0.724849537037037,22.0,113
matched_left_right,cosmos_short_static32,left_vs_right,7,7,3.777945601851852,0.7351996527777778,23.0,115
matched_left_right,cosmos_short_static32,left_vs_right,8,8,4.112247299382716,0.721195987654321,24.0,94
matched_left_right,cosmos_short_static32,left_vs_right,9,9,3.6062586805555554,0.7321286651234568,21.0,83
within_condition_direction,cosmos_declarative_static32,left,0,1,4.000870949074074,0.7473987268518518,23.0,85
within_condition_direction,cosmos_declarative_static32,left,0,2,3.3141251929012348,0.7429398148148149,21.0,72
within_condition_direction,cosmos_declarative_static32,left,0,3,3.6248533950617285,0.7450405092592592,21.0,88
within_condition_direction,cosmos_declarative_static32,left,0,4,4.210613425925926,0.7460860339506172,24.0,88
within_condition_direction,cosmos_declarative_static32,left,0,5,4.027168209876543,0.7513589891975309,24.0,114
within_condition_direction,cosmos_declarative_static32,left,0,6,3.612799961419753,0.7471084104938271,20.0,89
within_condition_direction,cosmos_declarative_static32,left,0,7,3.499734760802469,0.746549961419753,20.0,80
within_condition_direction,cosmos_declarative_static32,left,0,8,3.645973186728395,0.7410715663580247,22.0,77
within_condition_direction,cosmos_declarative_static32,left,0,9,4.06561149691358,0.7530054012345679,24.0,96
within_condition_direction,cosmos_declarative_static32,left,1,2,3.5167631172839506,0.7184211033950617,25.0,102
within_condition_direction,cosmos_declarative_static32,left,1,3,2.913347800925926,0.7007040895061728,20.0,110
within_condition_direction,cosmos_declarative_static32,left,1,4,2.7434481095679013,0.7063609182098766,17.0,71
within_condition_direction,cosmos_declarative_static32,left,1,5,2.580666473765432,0.6968846450617284,17.0,77
within_condition_direction,cosmos_declarative_static32,left,1,6,3.125360725308642,0.7119859182098766,21.0,108
within_condition_direction,cosmos_declarative_static32,left,1,7,2.8510108024691356,0.6999614197530865,20.0,96
within_condition_direction,cosmos_declarative_static32,left,1,8,3.0776060956790126,0.7121836419753086,20.0,89
within_condition_direction,cosmos_declarative_static32,left,1,9,2.757753665123457,0.710366512345679,20.0,80
within_condition_direction,cosmos_declarative_static32,left,2,3,3.2274006558641974,0.7127324459876543,25.0,85
within_condition_direction,cosmos_declarative_static32,left,2,4,3.6087046682098767,0.7064072145061728,24.0,91
within_condition_direction,cosmos_declarative_static32,left,2,5,3.5459847608024693,0.7134683641975309,26.0,88
within_condition_direction,cosmos_declarative_static32,left,2,6,3.3135185185185185,0.7254359567901234,23.0,110
within_condition_direction,cosmos_declarative_static32,left,2,7,2.9866512345679013,0.711382137345679,21.0,98
within_condition_direction,cosmos_declarative_static32,left,2,8,3.2704070216049383,0.7186120756172839,22.0,89
within_condition_direction,cosmos_declarative_static32,left,2,9,3.4763956404320986,0.7140702160493827,25.0,84
within_condition_direction,cosmos_declarative_static32,left,3,4,3.298697916666667,0.7083564814814814,23.0,108
within_condition_direction,cosmos_declarative_static32,left,3,5,3.0681886574074073,0.7056404320987655,21.0,81
within_condition_direction,cosmos_declarative_static32,left,3,6,2.920157214506173,0.7077710262345679,20.0,88
within_condition_direction,cosmos_declarative_static32,left,3,7,2.7951957947530865,0.6941319444444445,22.0,97
within_condition_direction,cosmos_declarative_static32,left,3,8,3.0008323688271603,0.7112683256172839,22.0,92
within_condition_direction,cosmos_declarative_static32,left,3,9,3.252721836419753,0.7114023919753086,24.0,79
within_condition_direction,cosmos_declarative_static32,left,4,5,2.941244212962963,0.7001186342592592,18.0,78
