comparison,label,left_seed,right_seed,cube_centroid_distance_m,bowl_centroid_distance_m,max_object_centroid_distance_m
within_condition_direction,cosmos_contrastive_static32:left,7203,7206,0.0,0.000244140625,0.000244140625
within_condition_direction,cosmos_contrastive_static32:left,7203,7207,0.0001220703125,0.0012267914576563586,0.0012267914576563586
within_condition_direction,cosmos_contrastive_static32:left,7203,7208,0.0,0.0008188725503539269,0.0008188725503539269
within_condition_direction,cosmos_contrastive_static32:left,7203,7209,0.0023161213331311372,0.0008188725503539269,0.0023161213331311372
within_condition_direction,cosmos_contrastive_static32:left,7204,7205,0.0006573687508709111,0.0010358009490037316,0.0010358009490037316
within_condition_direction,cosmos_contrastive_static32:left,7204,7206,0.0002729575167846423,0.001220703125,0.001220703125
within_condition_direction,cosmos_contrastive_static32:left,7204,7207,0.00034526698300124393,0.00044013077093066273,0.00044013077093066273
within_condition_direction,cosmos_contrastive_static32:left,7204,7208,0.0002729575167846423,0.0008886852892188132,0.0008886852892188132
within_condition_direction,cosmos_contrastive_static32:left,7204,7209,0.002370176738152783,0.0008886852892188132,0.002370176738152783
within_condition_direction,cosmos_contrastive_static32:left,7205,7206,0.00048828125,0.000244140625,0.00048828125
within_condition_direction,cosmos_contrastive_static32:left,7205,7207,0.0003662109375,0.0010429692071920813,0.0010429692071920813
within_condition_direction,cosmos_contrastive_static32:left,7205,7208,0.00048828125,0.0005033087921896558,0.0005033087921896558
within_condition_direction,cosmos_contrastive_static32:left,7205,7209,0.0018593196059238058,0.0005033087921896558,0.0018593196059238058
within_condition_direction,cosmos_contrastive_static32:left,7206,7207,0.0001220703125,0.001274451478138495,0.001274451478138495
within_condition_direction,cosmos_contrastive_static32:left,7206,7208,0.0,0.0007425247229367944,0.0007425247229367944
within_condition_direction,cosmos_contrastive_static32:left,7206,7209,0.0023161213331311372,0.0007425247229367944,0.0023161213331311372
within_condition_direction,cosmos_contrastive_static32:left,7207,7208,0.0001220703125,0.0006905339660024879,0.0006905339660024879
within_condition_direction,cosmos_contrastive_static32:left,7207,7209,0.0022006538546533137,0.0006905339660024879,0.0022006538546533137
within_condition_direction,cosmos_contrastive_static32:left,7208,7209,0.0023161213331311372,0.0,0.0023161213331311372
within_condition_direction,cosmos_contrastive_static32:right,7200,7201,0.0034955617830264535,0.0006103515625,0.0034955617830264535
within_condition_direction,cosmos_contrastive_static32:right,7200,7202,0.003497692573704688,0.00048828125,0.003497692573704688
within_condition_direction,cosmos_contrastive_static32:right,7200,7203,0.003497692573704688,0.0005459150335692846,0.003497692573704688
within_condition_direction,cosmos_contrastive_static32:right,7200,7204,0.003497692573704688,0.0012267914576563586,0.003497692573704688
within_condition_direction,cosmos_contrastive_static32:right,7200,7205,0.003497692573704688,0.0007425247229367944,0.003497692573704688
within_condition_direction,cosmos_contrastive_static32:right,7200,7206,0.003497692573704688,0.0007425247229367944,0.003497692573704688
within_condition_direction,cosmos_contrastive_static32:right,7200,7207,0.003497692573704688,0.000244140625,0.003497692573704688
within_condition_direction,cosmos_contrastive_static32:right,7200,7208,0.003497692573704688,0.000244140625,0.003497692573704688
within_condition_direction,cosmos_contrastive_static32:right,7200,7209,0.003497692573704688,0.0002729575167846423,0.003497692573704688
within_condition_direction,cosmos_contrastive_static32:right,7201,7202,0.0002729575167846423,0.0001220703125,0.0002729575167846423
within_condition_direction,cosmos_contrastive_static32:right,7201,7203,0.0002729575167846423,0.0002729575167846423,0.0002729575167846423
within_condition_direction,cosmos_contrastive_static32:right,7201,7204,0.0002729575167846423,0.001423572239952466,0.001423572239952466
within_condition_direction,cosmos_contrastive_static32:right,7201,7205,0.0002729575167846423,0.0010358009490037316,0.0010358009490037316
within_condition_direction,cosmos_contrastive_static32:right,7201,7206,0.0002729575167846423,0.0010358009490037316,0.0010358009490037316
within_condition_direction,cosmos_contrastive_static32:right,7201,7207,0.0002729575167846423,0.0003662109375,0.0003662109375
