cell_id,phase,layout_pair_id,model_config,layout_arm,command,replicate_id,candidate_effective_policy_seed,action_cap,stop_on_success,selected,status,pose_manifest,forecast_mapping
wmf1__confirmation__C11__D1__reflected__right,confirmation,C11,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C12__N3__original__left,confirmation,C12,N3,original,left,0,2026091212,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C12__N3__original__right,confirmation,C12,N3,original,right,0,2026091212,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C12__N3__reflected__left,confirmation,C12,N3,reflected,left,0,2026091212,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C12__N3__reflected__right,confirmation,C12,N3,reflected,right,0,2026091212,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C12__D1__original__left,confirmation,C12,D1,original,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C12__D1__original__right,confirmation,C12,D1,original,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C12__D1__reflected__left,confirmation,C12,D1,reflected,left,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C12__D1__reflected__right,confirmation,C12,D1,reflected,right,0,1140,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C13__N3__original__left,confirmation,C13,N3,original,left,0,2026091213,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C13__N3__original__right,confirmation,C13,N3,original,right,0,2026091213,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
wmf1__confirmation__C13__N3__reflected__left,confirmation,C13,N3,reflected,left,0,2026091213,450,false,true,NOT_RELEASED,UNQUALIFIED,UNQUALIFIED
